"Alter";"Bildung";"Kinder";"Bruttoeinkommen"
"340";60;15;0;95764
"341";30;11.5;3;29700
"342";45;11.5;0;122887
"343";47;11.5;0;78439
"344";41;17;0;149324
"345";50;11.5;0;89944
"346";63;10.5;0;20173
"347";61;10.5;0;20173
"348";27;12;0;35997
"349";67;10.5;0;61648
"350";61;11;0;61648
"351";39;12;0;62737
"352";23;10;0;61648
"353";52;12;1;81365
"354";75;18;0;41202
"355";60;11.5;0;39640
"356";37;15;1;68260
"357";34;14.5;1;69227
"358";68;17;0;39640
"359";58;11.5;0;113512
"360";56;11.5;0;113512
"361";27;16;0;113512
"362";49;16;3;178650
"363";51;18;2;95318
"364";46;18;0;65592
"365";49;18;2;76256
"366";60;11;0;109880
"367";63;10.5;0;109880
"368";64;10.5;0;21047
"369";73;9;0;62758
"370";46;10;0;127509
"371";62;10.5;0;35814
"372";41;10;2;36218
"373";67;10.5;0;28166
"374";58;10.5;0;28166
"375";54;10;0;45321
"376";50;12;0;45321
"377";56;11.5;0;79414
"378";51;11.5;0;65252
"379";51;11.5;0;82429
"380";53;18;3;127707
"381";48;18;3;127707
"382";55;10.5;0;141510
"383";57;10.5;0;141510
"384";55;12;0;40640
"385";54;16;0;32161
"386";50;16;0;47294
"387";52;16;0;129144
"388";52;18;0;129144
"389";37;18;0;37537
"390";64;18;0;131207
"391";53;13;0;101450
"392";58;13;0;101450
"393";47;15;0;109645
"394";45;12;1;56610
"395";49;15;0;31200
"396";60;18;0;109932
"397";60;18;0;111363
"398";61;18;0;109932
"399";55;10.5;0;51101
"400";47;11.5;1;36975
"401";18;10;1;36975
"402";55;10.5;1;36975
"403";24;11.5;0;45636
"404";60;18;0;124230
"405";60;12;0;61024
"406";52;18;0;77560
"407";49;11.5;0;69205
"408";68;11.5;0;41604
"409";38;18;1;113500
"410";37;18;0;108750
"411";34;18;0;125600
"412";34;18;0;41010
"413";48;15;2;29433
"414";45;15;0;82725
"415";59;18;0;49623
"416";22;13;0;49623
"417";63;18;0;49623
"418";51;16;1;91100
"419";51;12;1;91100
"420";50;10.5;0;270757
"421";35;18;2;83945
"422";77;10;0;21788
"423";69;11.5;0;21788
"424";45;11.5;2;34550
"425";58;11;0;47824
"426";56;15;0;47824
"427";30;18;0;41737
"428";25;10;0;25064
"429";46;11.5;0;128111
"430";52;10.5;0;54115
"431";56;15;2;46538
"432";55;12;2;46538
"433";64;11;0;25049
"434";62;8.5;0;25049
"435";56;9;0;32500
"436";53;12;0;30474
"437";29;18;0;41448
"438";67;18;0;522657
"439";63;15;0;522657
"440";41;18;0;522657
"441";37;18;0;522657
"442";31;18;0;522657
"443";56;10.5;0;80733
"444";46;10.5;0;80733
"445";47;11.5;0;70126
"446";27;18;0;71110
"447";67;12;0;62082
"448";65;12;0;62082
"449";39;16;1;105568
"450";52;10.5;0;71283
"451";51;10.5;0;71283
"452";29;9;0;71283
"453";48;15;0;100572
"454";73;14.5;0;69587
"455";69;10.5;0;69587
"456";30;13.5;0;69587
"457";59;9;1;24549
"458";55;11.5;1;24549
"459";54;11.5;1;116665
"460";48;12;1;46570
"461";74;10.5;0;61319
"462";73;10.5;0;61319
"463";49;11.5;0;61319
"464";44;11.5;1;78259
"465";53;12;2;92416
"466";56;18;0;123162
"467";20;10;2;92416
"468";69;10.5;0;78920
"469";73;10.5;0;78920
"470";47;13.5;0;78920
"471";64;18;0;142895
"472";59;11.5;0;142895
"473";32;18;0;142895
"474";30;18;0;48095
"475";59;18;0;45481
"476";58;15;0;45481
"477";28;18;0;45481
"478";24;13;0;45481
"479";53;11.5;0;52390
"480";54;13;0;52390
"481";56;12;0;61208
"482";34;16;1;48610
"483";58;10.5;0;54087
"484";57;11.5;0;71404
"485";65;10.5;0;71404
"486";41;11.5;0;57687
"487";44;15;2;70030
"488";50;11.5;0;67229
"489";69;10.5;0;20553
"490";39;15;2;93119
"491";45;18;0;116267
"492";62;18;0;61553
"493";60;11.5;0;61553
"494";32;18;0;78374
"495";56;14;1;69753
"496";60;12;1;69753
"497";33;18;1;24614
"498";26;12;1;69753
"499";44;12;0;52629
"500";54;16;0;77975
"501";54;10.5;0;77975
"502";26;13;0;77975
"503";23;13;0;77975
"504";38;15;2;83264
"505";34;12;2;83264
"506";54;18;0;52280
"507";64;13;0;109589
"508";61;11.5;0;109589
"509";72;18;0;35160
"510";42;14.5;2;77450
"511";49;10.5;0;39061
"512";69;11;0;32398
"513";64;10.5;0;32398
"514";39;15;1;46503
"515";34;12;2;57915
"516";32;15;1;26556
"517";48;15;1;81678
"518";65;10.5;0;55314
"519";61;10.5;0;55314
"520";41;13.5;0;79221
"521";22;13;0;55314
"522";46;18;2;78230
"523";45;12;2;89400
"524";34;14.5;0;32850
"525";64;7;0;31443
"526";81;9;0;56454
"527";55;11;0;34520
"528";51;10;0;56454
"529";51;10.5;0;39156
"530";56;18;1;99178
"531";55;14.5;1;99178
